"You and others here are doing your best to convict Donald Trump of sexual assault via hearsay. When the shoe was on Bill Clinton's foot, the left did all they could to protect him and his hideous wife. So yes, you are well schooled in hypocrisy.

Openly boasting about groping women is a far cry from exploiting the power of the presidency to seduce interns, cover up rape and sexual assault. Allowing men with a psychological disorder to act out their fantasies by entering women's restrooms and insisting it's some sort of social justice issue is simply bizarre.

It appears to me that you have plenty of time to do your own research. Maybe you should broaden your search from Thinkprogess and Huffpo.

Sorry you missed the last one but at least you agree then that Hillary belongs in prison.",Toxic
"Clinton says she “kept my cool, aided by a lifetime of dealing with difficult men trying to throw me off.”
The ""Most Difficult Man"", being her husband, the rapist.",Toxic
I guess the Ontario liberals and Alberta ndp share stupid ideas.,Toxic
"The German government, apparently,  puts the number of German citizens killed in the terrible disruption after WWII at 2 to 2.5 million. Other estimates are lower . . . as much as 2/3's lower. Is it really your contention that they were all massacred by Jews? 

Did they teach you this pestiferous crap at Stanford? You should ask for your money back. !",Toxic
And i moved here 46 years ago to get away from feminazis.,Toxic
"Hypocrisy!.
Ditto for Morneau and his many financial tentacles.
Hypocrites!",Toxic
"Merkel smart and progressive. Trump not in the least bit smart and utterly regressive. The US will be the unconditional loser as the world turns away, in everything from trade and tourism to science and collaboration. What an utter and avoidable waste. aMErica.",Toxic
"Political motivations, and parties aside. I would love to know peoples actual thoughts on this. Good. Bad? Could we actually get bipartisan support or is it a pipe dream. 

Additionally, the idea of a high speed transit in the windsor to toronto, and maybe in the future toronto to montreal corridors (which is like half of Canada's population) is one that may be interesting. There isn't much debate that infrastructure like this can massively foster growth along the route, but there is also the price factor. People don't like it in their backyard. 

Also, since this will be costly regardless, I would be curious price comparisons between HSR and Maglev. Mostly because the latter is more expensive but will require reduced maintenance costs whilst also having the advantage of being far quieter, likely reducing ""NIMBY"" BS. Not to mention it would be a great selling point of ""hey, look at our futuresque shit that travels at speeds that rival planes"".",Toxic
"His whole family were lying killers. He is a lying killer with no moral compass.  His lawyer coached this garbage. You are an idiot to believe this ""thing""  should be  allowed in Canada.  He is no child!!!",Toxic
"rangerMC,  you dont even make sense anymore. when will you thumpers realize that lgbtq's,  blacks, muslims, mexicans, asians, the poor, the homeless, aliens, extraterrestrial and earth bound, all have the same, inalienable rights as you, white, christian males do (in a just world of course), the right of personal choice. no one says a straight guy cant marry a straight woman. we just dont care because it is none of our business. its not about your beliefs or your ideology, its about equality and a persons right to choose. your comment on transgenders in elementary school bathrooms is just too stupid to deserve an answer.",Toxic
""" We also have to come up with punishment that's far quicker ""

We have to make sure he is guilty first. Where are Trumps minders to stop him making a pillock of himself?",Toxic
I agree.  It's ludicrous when anyone who claims to be concerned with religious freedom in the US does not protest when religion is proposed to be used as a ground of inadmissibility into the US.,Toxic
Your right ...the crazy Mormons in Utah get into a lot of cover up stuff just because of their insane beliefs.,Toxic
More bullying from Putrumpski. What a clown.,Toxic
What world do you live in in which any of us support Anthony Weiner? He's disgusting.,Toxic
"""Racist!""  ""Misogynist!"" ""Xenophobe!""  ""Homophobe!"" ""Colonialist!""  ""Neo-con!"" ""Check your privilege!"" ""Black lives matter!""

Yeah, lucky for us only the alt-right sinks to name-calling and yelling to shut down any civil exchange of ideas...",Toxic
"Trump, always the equal opportunity offender.",Toxic
"Man, homophobia is back, Don't worry GBA, I am sure you are safe in your closet fortress, you should come out of that closet once and a while.",Toxic
This sounds like the same garbage we heard from the pro-tobacco lobbyists in the 60's.,Toxic
"No he isn't a Status Indian. And your comment about ""dodging"" taxes is ignorant. Do you understand anything about Treaty Rights?",Toxic
